,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SkipThoughtCS,EmbeddingAverageCosineSimilarity,EmbeddingAverageCosineSimilairty,VectorExtremaCosineSimilarity,GreedyMatchingScore
1000,0.0,0.0,0.0,0.0,0.01018,0.0,0.0,0.8117629885673523,0.708141,0.708141,0.6313310000000001,0.900897
2000,0.0,0.0,0.0,0.0,0.015438999999999996,0.0,0.0,0.7261419892311096,0.611445,0.611445,0.545389,0.8599479999999999
3000,0.0,0.0,0.0,0.0,0.01781,0.0,0.0,0.7276769876480103,0.609275,0.609275,0.541145,0.8585729999999999
4000,0.0002,1.4e-05,6e-06,4e-06,0.017348,0.0002,0.0005,0.697018027305603,0.582509,0.582509,0.508448,0.850139
5000,0.0,0.0,0.0,0.0,0.017066,0.0,0.0,0.7150809764862059,0.5971810000000001,0.5971810000000001,0.5182140000000001,0.8556040000000001
6000,0.0,0.0,0.0,0.0,0.019984,0.0,0.0,0.7330780029296875,0.6232439999999999,0.6232439999999999,0.54671,0.8690040000000001
7000,0.0,0.0,0.0,0.0,0.01927,0.0,0.0,0.7484059929847717,0.640038,0.640038,0.562948,0.875508
8000,0.0,0.0,0.0,0.0,0.019738,0.0,0.0,0.7405369877815247,0.633062,0.633062,0.553439,0.8740549999999999
9000,0.0,0.0,0.0,0.0,0.020146999999999998,0.0,0.0,0.7203180193901062,0.607887,0.607887,0.529854,0.862035
15000,0.0,0.0,0.0,0.0,0.025073,0.0,0.0,0.6730660200119019,0.529561,0.529561,0.443988,0.832434
30000,0.0,0.0,0.0,0.0,0.025223,0.0,0.0,0.7060800194740295,0.5771970000000001,0.5771970000000001,0.493312,0.851834
52000,0.0,0.0,0.0,0.0,0.024696,0.0,0.0,0.7114930152893066,0.588873,0.588873,0.50673,0.854974
56000,0.0,0.0,0.0,0.0,0.027175,0.0,0.0,0.7007309794425964,0.574973,0.574973,0.491203,0.8502430000000001
60000,0.0,0.0,0.0,0.0,0.0245,0.0,0.0,0.6866120100021362,0.561929,0.561929,0.478351,0.8450840000000001
64000,0.0,0.0,0.0,0.0,0.024465,0.0,0.0,0.6939889788627625,0.570703,0.570703,0.49065200000000003,0.8479180000000001
68000,0.0,0.0,0.0,0.0,0.026716000000000004,0.0,0.0,0.7076669931411743,0.5840310000000001,0.5840310000000001,0.5004770000000001,0.853773
72000,0.0,0.0,0.0,0.0,0.026438999999999997,0.0,0.0,0.7083219885826111,0.58348,0.58348,0.4980729999999999,0.853769
76000,0.0002,1.4000000000000001e-05,6e-06,4e-06,0.024628,0.0002,0.0005,0.6951389908790588,0.570241,0.570241,0.487393,0.8475739999999999
84000,0.0,0.0,0.0,0.0,0.022739,0.0,0.0,0.6996449828147888,0.5752189999999999,0.5752189999999999,0.4959810000000001,0.847933
92000,0.0002,1.4000000000000001e-05,6e-06,4e-06,0.024165,0.0002,0.0005,0.7030230164527893,0.579056,0.579056,0.499158,0.849743
96000,0.0,0.0,0.0,0.0,0.024483,0.0,0.0,0.6965889930725098,0.569287,0.569287,0.486587,0.845578
100000,0.0002,1.4000000000000001e-05,6e-06,4e-06,0.027236,0.0002,0.0005,0.6921089887619019,0.561909,0.561909,0.477322,0.843831
102000,0.0,0.0,0.0,0.0,0.023336000000000003,0.0,0.0,0.7099159955978394,0.586978,0.586978,0.504955,0.852764
104000,0.0,0.0,0.0,0.0,0.028738999999999997,0.0,0.0,0.6801869869232178,0.552409,0.552409,0.46956800000000004,0.8411299999999999
108000,0.0,0.0,0.0,0.0,0.025028,0.0,0.0,0.692916989326477,0.56999,0.56999,0.49076099999999995,0.8467680000000001
116000,0.0,0.0,0.0,0.0,0.024291,0.0,0.0,0.7039530277252197,0.580228,0.580228,0.499303,0.851147
120000,0.0002,1.4e-05,6e-06,4e-06,0.028144,0.0002,0.0005,0.692520022392273,0.565411,0.565411,0.480762,0.84616
124000,0.0,0.0,0.0,0.0,0.025187,0.0,0.0,0.7013940215110779,0.578659,0.578659,0.496687,0.8502069999999999
128000,0.0,0.0,0.0,0.0,0.027485,0.0,0.0,0.6980100274085999,0.570659,0.570659,0.486994,0.84698
129000,0.0,0.0,0.0,0.0,0.024657,0.0,0.0,0.7044450044631958,0.579491,0.579491,0.498381,0.850025
130000,0.0002,1.4e-05,6e-06,4e-06,0.024099,0.0002,0.0005,0.7140390276908875,0.591815,0.591815,0.511247,0.85383
140000,0.0,0.0,0.0,0.0,0.025511000000000002,0.0,0.0,0.7018759846687317,0.5759890000000001,0.5759890000000001,0.494979,0.848299
148000,0.0,0.0,0.0,0.0,0.025026,0.0,0.0,0.7117739915847778,0.589598,0.589598,0.50825,0.8549
150000,0.0002,1.4000000000000001e-05,6e-06,4e-06,0.026154000000000004,0.0002,0.0005,0.7072060108184814,0.583196,0.583196,0.500732,0.852973
151000,0.0002,1.4e-05,6e-06,4e-06,0.027139,0.0002,0.0005,0.6974970102310181,0.56892,0.56892,0.485339,0.846909
152000,0.0004,2e-05,7.000000000000003e-06,4e-06,0.026581999999999998,0.0004,0.001,0.6946939826011658,0.565127,0.565127,0.48132600000000003,0.8446299999999999
153000,0.0,0.0,0.0,0.0,0.026547,0.0,0.0,0.7005620002746582,0.5724779999999999,0.5724779999999999,0.48945,0.8481700000000001
154000,0.0,0.0,0.0,0.0,0.024143,0.0,0.0,0.7030400037765503,0.576205,0.576205,0.495324,0.84883
155000,0.0002,1.4e-05,6e-06,4e-06,0.026882,0.0002,0.0005,0.6967689990997314,0.5672550000000001,0.5672550000000001,0.483625,0.846434
156000,0.0002,1.4000000000000001e-05,6e-06,4e-06,0.025937,0.0002,0.0005,0.7065849900245667,0.58214,0.58214,0.50052,0.851509
157000,0.0004,2e-05,7.000000000000003e-06,4e-06,0.027804,0.0004,0.001,0.6911889910697937,0.562671,0.562671,0.4795140000000001,0.844648
158000,0.0002,1.4000000000000001e-05,6e-06,4e-06,0.025905,0.0002,0.0005,0.6993569731712341,0.57626,0.57626,0.49517100000000003,0.848183
159000,0.0,0.0,0.0,0.0,0.027668,0.0,0.0,0.6955419778823853,0.56539,0.56539,0.481408,0.8455590000000001
160000,0.0002,1.4000000000000001e-05,6e-06,4e-06,0.025578,0.0002,0.0005,0.7060549855232239,0.5807359999999999,0.5807359999999999,0.49924399999999997,0.850966
161000,0.0,0.0,0.0,0.0,0.026299,0.0,0.0,0.6998890042304993,0.571714,0.571714,0.487372,0.847648
162000,0.0,0.0,0.0,0.0,0.025611000000000002,0.0,0.0,0.7221019864082336,0.601867,0.601867,0.5212760000000001,0.858984
163000,0.0002,1.4e-05,6e-06,4e-06,0.028718,0.0002,0.0005,0.6984440088272095,0.568995,0.568995,0.483984,0.8464510000000001
164000,0.0002,1.4000000000000001e-05,6e-06,4e-06,0.026886,0.0002,0.0005,0.7072020173072815,0.581896,0.581896,0.49936499999999995,0.850922
165000,0.0002,1.4e-05,6e-06,4e-06,0.026281,0.0002,0.0005,0.7111610174179077,0.589914,0.589914,0.510447,0.8535309999999999
166000,0.0002,1.4000000000000001e-05,6e-06,4e-06,0.026327999999999997,0.0002,0.0005,0.7114800214767456,0.585943,0.585943,0.50232,0.8532290000000001
167000,0.0,0.0,0.0,0.0,0.02541,0.0,0.0,0.7124509811401367,0.592058,0.592058,0.512289,0.854382
