,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SkipThoughtCS,EmbeddingAverageCosineSimilarity,EmbeddingAverageCosineSimilairty,VectorExtremaCosineSimilarity,GreedyMatchingScore
7000,1.6e-05,0.0,0.0,0.0,0.032861,0.002542,0.0011279999999999999,0.3886820077896118,0.6868569999999999,0.6868569999999999,0.23056100000000002,0.8845280000000001
8000,0.000105,0.0,0.0,0.0,0.034706,0.013108000000000002,0.005267,0.381632000207901,0.635135,0.635135,0.240693,0.8720190000000001
9000,1.8e-05,0.0,0.0,0.0,0.034682,0.003034,0.001352,0.3833540081977844,0.643269,0.643269,0.235292,0.874769
10000,0.000193,1e-06,0.0,0.0,0.034282,0.024369,0.009703,0.3782579898834229,0.6135550000000001,0.6135550000000001,0.235934,0.8677860000000001
20000,0.000126,1e-06,0.0,0.0,0.034562,0.016715,0.006706999999999999,0.3728480041027069,0.543189,0.543189,0.23368699999999998,0.851651
23000,9.2e-05,0.0,0.0,0.0,0.036979000000000005,0.012041,0.004790999999999999,0.37429898977279663,0.566593,0.566593,0.22893400000000005,0.856952
30000,9.8e-05,0.0,0.0,0.0,0.035533999999999996,0.013036,0.005475,0.35887399315834045,0.479966,0.479966,0.212233,0.8360719999999999
50000,9.9e-05,0.0,0.0,0.0,0.037704,0.01407,0.006633,0.3706560134887695,0.563883,0.563883,0.238137,0.8550979999999999
60000,6.6e-05,0.0,0.0,0.0,0.039394,0.008848,0.003892,0.3712159991264343,0.570733,0.570733,0.241669,0.85696
70000,0.000106,0.0,0.0,0.0,0.040037,0.014216,0.006303,0.3718689978122711,0.552117,0.552117,0.243133,0.852672
80000,6.1e-05,0.0,0.0,0.0,0.037961,0.008294,0.0032990000000000003,0.3745270073413849,0.5892850000000001,0.5892850000000001,0.238796,0.859825
90000,0.000122,1e-06,0.0,0.0,0.038532,0.0162,0.006957,0.3835589885711671,0.599531,0.599531,0.25203200000000003,0.864058
100000,9.2e-05,0.0,0.0,0.0,0.037603,0.012366,0.005696,0.3751620054244995,0.593939,0.593939,0.23493499999999998,0.8616309999999999
150000,8.1e-05,0.0,0.0,0.0,0.038222000000000006,0.010818,0.004574,0.3770909905433655,0.6070399999999999,0.6070399999999999,0.238378,0.8657729999999999
200000,0.00010400000000000001,0.0,0.0,0.0,0.039781,0.013549,0.005625,0.3782869875431061,0.590861,0.590861,0.23351100000000002,0.860332
250000,9.3e-05,0.0,0.0,0.0,0.039254,0.012988,0.005598,0.3725619912147522,0.563561,0.563561,0.225162,0.853009
285000,8e-05,0.0,0.0,0.0,0.042282,0.011000000000000001,0.004692,0.3752630054950714,0.5709270000000001,0.5709270000000001,0.231172,0.8568309999999999
300000,9.9e-05,0.0,0.0,0.0,0.040995,0.013695,0.005899000000000001,0.3743790090084076,0.570854,0.570854,0.232113,0.8559110000000001
310000,6.1e-05,0.0,0.0,0.0,0.040152,0.008417000000000001,0.003646,0.37299901247024536,0.566982,0.566982,0.224921,0.854333
320000,0.000109,0.0,0.0,0.0,0.040374,0.014577,0.006045,0.3720760047435761,0.5485260000000001,0.5485260000000001,0.226546,0.8492790000000001
330000,7.099999999999999e-05,0.0,0.0,0.0,0.040724,0.009437000000000001,0.004208,0.3740510046482086,0.565825,0.565825,0.229365,0.854023
340000,6.9e-05,0.0,0.0,0.0,0.040987,0.009106,0.004016,0.37334001064300537,0.561437,0.561437,0.225004,0.852701
350000,7.5e-05,0.0,0.0,0.0,0.041437,0.009964,0.004368,0.3728510141372681,0.550084,0.550084,0.22528,0.850194
360000,7.4e-05,0.0,0.0,0.0,0.040754000000000005,0.009987,0.0041670000000000006,0.3747130036354065,0.5648880000000001,0.5648880000000001,0.22435,0.8535590000000001
370000,8.6e-05,0.0,0.0,0.0,0.041043,0.011426,0.004749000000000001,0.376805990934372,0.578259,0.578259,0.230694,0.858432
380000,0.000113,0.0,0.0,0.0,0.042003,0.015263,0.006282,0.37954699993133545,0.568653,0.568653,0.23988,0.8562870000000001
390000,8e-05,0.0,0.0,0.0,0.041382999999999996,0.010752,0.004415,0.3763900101184845,0.5620890000000001,0.5620890000000001,0.23046399999999997,0.85385
400000,9.4e-05,0.0,0.0,0.0,0.041041,0.012597,0.00544,0.3761070072650909,0.571041,0.571041,0.226376,0.855455
410000,8.6e-05,0.0,0.0,0.0,0.041795,0.011417,0.004671,0.3776200115680695,0.5683239999999999,0.5683239999999999,0.238258,0.854944
420000,8.7e-05,0.0,0.0,0.0,0.041413,0.011715,0.005082,0.3777390122413635,0.5601229999999999,0.5601229999999999,0.23636,0.8539629999999999
430000,8.9e-05,0.0,0.0,0.0,0.041617,0.012048,0.004971,0.3790450096130371,0.568531,0.568531,0.229881,0.855456
440000,8.8e-05,0.0,0.0,0.0,0.042561,0.011422,0.00479,0.37907999753952026,0.57839,0.57839,0.236392,0.857844
450000,8.4e-05,0.0,0.0,0.0,0.041264999999999996,0.01162,0.00486,0.3798069953918457,0.584922,0.584922,0.23681300000000002,0.8589209999999999
460000,8.6e-05,0.0,0.0,0.0,0.042064,0.011383,0.004704,0.3786030113697052,0.586617,0.586617,0.238292,0.85993
470000,0.00011599999999999999,0.0,0.0,0.0,0.0416,0.015576,0.006383,0.3763409852981568,0.5719479999999999,0.5719479999999999,0.23674299999999998,0.855509
480000,0.0001,0.0,0.0,0.0,0.043551,0.013196,0.005417,0.38069701194763184,0.573874,0.573874,0.244351,0.8574510000000001
490000,0.000105,0.0,0.0,0.0,0.042475,0.014059,0.00577,0.3758360147476196,0.571124,0.571124,0.235775,0.8558690000000001
500000,0.00012,1e-06,0.0,0.0,0.042728,0.016157,0.007021,0.3803800046443939,0.592272,0.592272,0.236224,0.86192
